Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
The Sasbadi Annual Report 2016 app enables readers to experience features of Sasbadi's annual report in Augmented Reality (AR)enjoy Sasbadi's in-house AR technology,this app use camera permission you can use camera of your device,CAMERA,,,
Use our app to scan the barcode and order from your phone,this app use camera to scan qr code or barcode using camera of camera,CAMERA,,,
Use our app to scan the barcode and order from your phone,app can use camera permission,CAMERA,,,
Signature and image capture Bar codes,the app uses camera permission to take photo,CAMERA,,,
"scan functionality for QR-codes, scan QR-Codes on the visitor badges and import this data in your contacts ",this app use camera to scan qr code or barcode using camera of camera,CAMERA,,,
Create a phenomenal collage out of your private photos If you are a person who takes a lot of pictures and likes making selfies,the app use use your camera,CAMERA,,,
Start scanning your tickets today with ScanFastInstall the app to turn your Android device into a fully functional ticket scanneryou'll be ready to verify barcodes on all types of tickets for your events,the app uses camera permission,CAMERA,,,
Voice and video calls to mobile devices and computers,this app uses camera permission to use camera for video call,CAMERA,,,
"Bring LumiSpa to life with this cool augmented reality appscan a LumiSpa AR image, and watch as a 3D projection of the new ageTry snapping photos or recording video of you “using” your new digital device—all in the app!",access your camera to take photo or video,CAMERA,,,
Take new photos of receipts or choose existing photos,open camera to take photo or select photo from phone gallery,CAMERA,,,
Anarkali Dress Photo Suit is photography application to set different Anarkali Dress on your face by live capturing OR per-captured photos,the app uses camera of your camera,CAMERA,,,
you can record this lecture or take some pictures or even adding notes or taking some videos,take photo or video using camera of your device,CAMERA,,,
"Users have one identify across all services, voice, video and Instant Messaging & PresenceVoice and video calls are enhanced with the highest quality voice ",you can use your camera to start video call,CAMERA,,,
Automatic scan of voucher's QR code,use camera to scan qr code or barcode,CAMERA,,,
Login via QR CodeLogin effortlessly by scanning the QR code,the app use use the camera permission,CAMERA,,,
Flashlight on call is a free to download smart app which will blink flash light on callEven when your mobile mobile is in silent mode you will be intimated about a call through flashlight blink by using this flashlight on call,access camera of your device camera to use flash light of your camera,CAMERA,,,
Take or upload a picture of a receipt and submit for a new or existing claim,take pictures using device camera,CAMERA,,,
Place it over photo from gallery or shot a new one,take pictures using device camera or choose from gallery,CAMERA,,,
"take a photo or select from image galleryOpen this latest photo face changer on your smartphone, select picture from your image gallery or capture a new selfie",take photo selfie with the camera of your camera and you can take image from gallery,CAMERA,,,
AR Christmas app lets you experience the season of love through Augmented RealityIt makes the traditional Christmas card comes alive,this app uses camera permission to use camera,CAMERA,,,
"The app allows you the parent our caregiver to capture imagesYou simply take a picture of an object, place, or person and apply the appropriate text ",take pictures using device camera or choose from gallery,CAMERA,,,
"Collage Art brings you a variety of awesome features to help you create beautiful works of art from your photosUse a wide range of features and effects to spice up your picturesAdd emoji face stickers, love stickers, friendship stickers and more! ",take pictures and add effects on your photo,CAMERA,,,
QR code scanner and passcode features to easily connect with new communities and events,you can use camera camera to scan qr code,CAMERA,,,
"You can make a video call for free with the most used face call apps such as Whatsapp, Messenger, Skype, Bigo Live, Imo, Kik, Tango, Viber, etc ",this app uses camera permission,CAMERA,,,
also allows you to snap a photo to add to your service request,take pictures with device camera and camera,CAMERA,,,
"You simply snap a picture, enter a few details and you’re doneJust snap a picture and sell it on Pxsell ",take pictures with device camera and camera,CAMERA,,,
QR code verification tool for Folio,use camera to use you can scan qr code using camera,CAMERA,,,
Deploy services on new computers by simply scanning a QR code with this app on the local computer,open camera you can use use to scan qr code or barcode,CAMERA,,,
Take a beautiful selfie of you or Choose a photo of anyone else you want from gallery,take photo or selfie with camera or select photo from your phone gallery,CAMERA,,,
20+ well-designed video styles for you to edit and record unique moment,this app uses camera permission,CAMERA,,,
The app allows you to scan a QR code that matches a label for your business,open camera you can can scan qr code and barcode using camera of camera,CAMERA,,,
KalTicket Pro allows your ticket salesperson to scan tickets with QR code at the entrance of cinemas or theaters,can scan qr code with the the camera,CAMERA,,,
It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,save photo to gallery,CAMERA,,,
Transcribe written notes – from a photo of your padCreate Outlook contacts – from photos of business cardsDo expense reports – from photos of receipts and a spoken description of the tripEnter records in a database – from a photo of a form,this app uses camera permission to take photo,CAMERA,,,
"Even better, its high-speed HD video and audio chats bring more life into your conversations with your friend(s) ",start video chat using device camera of your camera,CAMERA,,,
Upload photos,this app uses camera permission to take photo,CAMERA,,,
Augmented reality is about to get augmented,access device camera to activate,CAMERA,,,
"We also collect images, signatures, audio, dates and times, QR codes as well as many advanced feature rich enhancements that are being added by constant development ",this app access to your device camera,CAMERA,,,
Type or scan a VIN in order to stock in off lease inventory,open open camera to scan,CAMERA,,,
"you’ll be connected through a secure, video chat with a licensed, local doctor ",the app need camera permission to use use video chat,CAMERA,,,
"Modify flashlight notification app for android with deferent colors white, purple, pink, Yellow, green, blue, redNow available flashlight app for sms texting and calling ",the app uses camera permission to use flash light of your camera,CAMERA,,,
If you love taking pictures with your children and you want to do something special with themChoose a photograph from your device or take a new one,take photo with camera or take from phone gallery,CAMERA,,,
Parked Car Finder QR Code and VIN Barcode scanner New and pre-owned inventory,this app uses camera to scan qr code or barcode with camera camera camera,CAMERA,,,
Take or upload pictures to report and prove issues,take photo with camera or take from phone gallery,CAMERA,,,
show your creative side of taking the pictures with our quality frames,open camera to take pictures you can set frames to photo,CAMERA,,,
Search by scanning serial bar code,open open camera to scan qr code and barcode using camera,CAMERA,,,
Join quests and compete with other players to photograph animals and plants in the wild,this app uses camera camera permission,CAMERA,,,
SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,the app use camera use camera permission,CAMERA,,,
[AR Features]Summon your Heroes to the real world!,the app use device camera,CAMERA,,,
Recognition of images to access promotions,you can use camera and scan saved photo from phone gallery,CAMERA,,,
scan barcodes of inspected products to trace them back take and upload photos to integrate them into your inspection reports,the app use camera you can scan barcode with camera you can can open camera to take photo,CAMERA,,,
"Android Enterprise Enrollment using QR Code, NFC or HashcodeProprietary Non-GMS Enrollment (QR-code based) ",you can scan qr code and barcode with camera,CAMERA,,,
To place a business-quality video or voice-only call into a business from your Android deviceIt's that easy to start a face-to-face interaction,the app use camera camera permission,CAMERA,,,
Record video and take pictures as a dashcam,open camera to take picture or video,CAMERA,,,
"wherever you go, any time and any moment just take pic from camera or import photo from gallery just decorate with this photo frame app ",take photo with camera or take from phone gallery,CAMERA,,,
press volumn key to take picutres or record video,take photo or video with camera and save to gallery,CAMERA,,,
A Better Editor & Effects integrated with A Better Camera - Get it now! Capture now - process later,this app uses camera permission you can take photo using camera and set effects on photo,CAMERA,,,
the best mirror camera where you can make creative selfies and videos with more than 12 mirror effects,the app use use device camera of your camera,CAMERA,,,
"Decorate your photos with these incredible frames, choose a photo from the gallery or take a photo with the camera, then apply the frame that you like and you can save the photo, share with friends or upload to social networks Facebook, Twitter , email etc ",take photo with camera or select photo from phone gallery,CAMERA,,,
Select a photo from the gallery or take photos using the phone's camera,you can take pictures with camera or select from phone gallery,CAMERA,,,
Secret Video Recorder Record video without notifications,access camera to make video,CAMERA,,,
Silent CameraTake pictures in the background or foreground without shutter sound,take pictures with camera and camera,CAMERA,,,
[Optional access rights]-Camera / Album  : Used to register and change in-game profile,this app uses camera camera permission,CAMERA,,,
Take pictures with vivid colors and rich details,you can can take photos using camera,CAMERA,,,
Photo Mission - Wake up and take photo of the registered place to dismiss your alarm,app use camera of your camera to take photo,CAMERA,,,
"You point your smartphone camera at the subject, the name of the color is going to find out ",the app uses camera permission to use camera,CAMERA,,,
Camera access,the app you use use your camera,CAMERA,,,
take pictures and videos and apply amazing effects on it,open camera to take pictures or videos you can set effects on photo and save to phone gallery,CAMERA,,,
Make snappic with live camera filters or make selfie video with live camera effects,you can take selfie using rear camera,CAMERA,,,
"You can use your phone as usual, while being able to see the live image of your camera transparently on the entire screen ",the app uses camera permission,CAMERA,,,
"Chose your camera shots or photos from your gallery, use photo effects, play with masks and effects and enjoy the result ",you can take photos with your camera or take from your phone gallery,CAMERA,,,
"Control Center 12 Gives you access to the Camera,Clock,Screenshot,and more settings.",access your camera of you device camera camera,CAMERA,,,
"Shoot or pick your videos/photos/music, Movie Studio automatically turns them into beautifully edited movies, completed in minutes ",this app uses camera permissionn to take photos or videos,CAMERA,,,
Camera Color Picker is a very light weight app that uses the camera of your device to capture a color,the app use use camera permission,CAMERA,,,
It analyses in real time the camera preview and extracts the color that you are pointing at,this app uses camera permission you can use camera camera,CAMERA,,,
We know that many people find some difficulties when they try to take selfie snaps because it’s harder to take the phone and tap the snap button at the same time and that’s the main reason behind this app because it will help you with its advanced and smart voice selfie and countdown camera features to take some amazing selfies using your voice or a countdown,take selfie using rear camera,CAMERA,,,
"Dashboard Cam allows the users to record video or take photo snaps in full screen camera images along with map compass and GPS speed information, and find out your driving statistics with GPS data recordings ",this app uses camera permission to take photos or videos,CAMERA,,,
"Create a selfie, submit it and talented people from all around the world can draw a portrait of you! ",you can take selfie with rear camera,CAMERA,,,
Multiple exposures on the single photo for the android camera,the app use camera permission,CAMERA,,,
Capture a new image with your camera and apply an amazing photo frame to it!,open camera to take photo with camera,CAMERA,,,
"Take a photo, record a video and share with the world!Use the web search to find faces to swap with or use one from the built-in ones such as a statue or a doll face or a masquerade mask ",you can take pictures or videos using device camera,CAMERA,,,
Take photos and videos with the professional mode to adjust the scene,the app uses camera permission you can take pictures and videos using device camera,CAMERA,,,
"HD Camera Selfie Camera designed specifically for selfie, with extreme pro effects.",select rear camera to take selfie photo,CAMERA,,,
Features:take picture with front camera take picture with rear camera,select front or rear camera to take photo,CAMERA,,,
Camera : Takes pictures,this app uses camera permission to take pictures,CAMERA,,,
MineCam MC Dimensions allows you to take ordinary photos or selfies and add awesome Minecraf effects to them,the app uses camera permission to take photos you can can add effects and filters,CAMERA,,,
"Record videos or take photos, is up to you ",you can take pictures or videos with camera of your device camera,CAMERA,,,
"Turn on your phone camera, your phone will show your background screen from back camera and make your device as transparent screen ",this app use use use camera permission,CAMERA,,,
"HD filters Camera  is a fully-featured free Camera app, with Quick Snap and HD videos, and offers Photo Sphere, and another creative panorama photo modes ",you can take photo and videos in high resolution,CAMERA,,,
"Easy to Shoot professional Camera Effects, Real-time Preview of the beautiful Photo and video filters Effects ",take pictures and videos with device camera,CAMERA,,,
Voice Command Mode: take photo by voice command (command is Cheese),this app uses camera permission to take photo,CAMERA,,,
Features: Choose Image either from gallery or Camera 20 photo effects to apply or photos,take photo with camera or take from gallery,CAMERA,,,
Turn your device into a bright flashlight using your camera Flash,you can use flash light of camera of your camera,CAMERA,,,
Convert existing photos and image files to the video file,this app will use camera permission,CAMERA,,,
Precious is an application where you can capture your beautiful moments to share them with your friends and families,app will access camera of camera to take pictures,CAMERA,,,
"This app takes three pictures with single shutter action. Then, the app automatically select the picture that is the most clear and save it ",the app use camera permission to take photos and save photos to device gallery,CAMERA,,,
"Camera support added, to take snapshots of the scenes ",you can take photos with camera,CAMERA,,,
Take the photo fun to the next level,this app use camera permission to take pictures,CAMERA,,,
Take the photo fun to the next level,app use use camera of your camera you can take photo with camera,CAMERA,,,
"This app can import, export, and transfer your contacts.",this app will read contact to read contacts and save contacts to device,CONTACT,,,
syncs  with  contacts  and  you’re  ready  to  go. add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.,the app can can read contacts or contact,CONTACT,,,
it  will  not  read  your  contacts  saved  in  phone  but  you  can  create  separate  contact  list  so  that  contact  would  be  added  in  jhingur  as  your  preference.,app use can can read contact,CONTACT,,,
Set  sound  as  default  or  contact  ringtone,app uses contact permission you can save ringtone for contacts,CONTACT,,,
Read  contacts:  To  read  the  device  contacts  to  provide  caller  id  information.,you can read contact contacts details,CONTACT,,,
"Contacts  (read  your  contacts)  -  connecting  Your  contacts  with  profiles  (name,  avatar,  sending  reports)",save photos to contact or contacts,CONTACT,,,
Find  contacts  who  are  already  on  Yabb  and  invite  those  who  aren’t.,this app can read contact to read contacts,CONTACT,,,
Easily  add  friends  to  your  contacts  list  with  Yabb  Auto-sync.,save contact to your phone book,CONTACT,,,
"Contacts  Import:  Import  business  contacts  from  Google  contacts,  phonebook  or  excel  sheet.",you can download contact to device storage storage,CONTACT,,,
Read  your  contacts  is  required  for  selecting  some  contact  which  will  be  used  as  target  for  a  shortcut.,access your contact information,CONTACT,,,
Use  your  contact  list  to  invite  friends  to  events  or  find  friends  already  using  Bandsintown,the app use read contact to read contacts,CONTACT,,,
Assign  different  melody  for  every  contact,download ringtones for your device,CONTACT,,,
Slide  a  contact  to  left  to  call  or  send  a  message  directly and quickly  call  your  favorite  contacts!,app will send sms,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts",download ringtones and set as contact ringtone notification alert,CONTACT,,,
"READ_CONTACTS  to  read  your  contacts, Home  screen  widget  displaying  the  upcoming  birthday  and  anniversary  dates  of  your  contacts",this app can read contact to read contacts,CONTACT,,,
"Simply  tap  on  the  call  tab  on  Skype  Lite,  and  start  the  group  call  with  your  friends  on  Skype  Lite.  You  can  also  share  a  Skype  Lite  group  call  link  with  your  friends  on  popular  social  apps  like  WhatsApp,  Facebook  Messenger  or  SMS,  and  invite  them  to  join  the  call.",read contacts and you can share the the the the,CONTACT,,,
This  application  allows  you  to  transfer  within  a  few  seconds  all  your  contacts  to  your  new  phone.,save contacts to your phone book,CONTACT,,,
"Barcode  and  QR  scanner  can  scan  and  read  all  QR  /  barcode  types  including  contact,  email,  and  many  other  formats.",this app will use camera permission for qr code scanning and barcode,CONTACT,,,
"Activate  your  astDial  account,  upload  contact  on  cloud",the app can read your contacts,CONTACT,,,
"The  phonebook  Contacts  App  helps  you  to  modify, delete and insert contact.",you can add new contact and add contacts,CONTACT,,,
"You  can  send  an  unlimited  amount  of  messages,  photos,  videos  and  files  of  any  type  to your contacts and have group chat with up to 200 contacts at a time.",the app will read your contacts and you can send sms to contacts for contact,CONTACT,,,
This  app  uses  Read  Contacts  permission  to  read  contacts  per  your  action  taken.,the app will read contact,CONTACT,,,
This  app  uses  Write  Contacts  permission  to add/delete  contacts  as  per  your  action  taken.,save contacts or contact or add new contacts,CONTACT,,,
"READ_CONTACTS,  WRITE_CONTACTS:  for  internal  use  for  the  purpose  of  assigning  the  ringtone  to  desired  contact",set ringtones for contacts,CONTACT,,,
You  can  import  thousands  of  contacts  into  separate  groups  from  a  spreadsheet  (CSV)  in  seconds.  The  contacts  are  synced  real-time  from  your  computer  with  your  Android  app.,save contacts to device storage storage,CONTACT,,,
READ_CONTACT  permission  needed  for  autocompletion  when  you  are  using  on  screen  keyboard.,this app read contact to read your contacts,CONTACT,,,
"Recover  Deleted  All  Photos,  Files  And  Contacts.",save contact for your device,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts",you can set contact ringtones notification alert and save photo to contacts,CONTACT,,,
You  may  create  favorite  contact  list  for  privacy  or  may  put  contact  list  in  the  privacy  to  secure  your  contact  while  ring.,this app use contact permission,CONTACT,,,
Edit  contacts  and  add  notes  to  the  people  you  meet.,save photo to contacts and you can use save contacts to device,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.,the app read contact read contacts,CONTACT,,,
PERMISSION  for  reading  contacts: It  allows  you  to  share  the  same  resources  accross  multiple  projects.,this app will use read contact permission,CONTACT,,,
Import  persons  from  your  contacts  or  a  Google  spreadsheet,save contacts,CONTACT,,,
You  can  create  list  from  your  contacts  to  exclude  them  from  caller  name  announcement. Calling  person  name  if  exists  in  your  contacts.,app can read contact to read your contacts,CONTACT,,,
"Easily  export  contacts  to  Salesforce,  SugarCRM  or  save  as  Excel  files",save your contact as file to your storage,CONTACT,,,
"CREAM  assistant  is  also  a  base  of  your  contacts,  which  can  be  quickly  created  and  organized.",you can can the app use read contacts,CONTACT,,,
Set ringtones photos for your contacts.,you can save photo to contacts,CONTACT,,,
"This  application  can  restore  all  your  MANUALLY  deleted  Contacts, and synchronize  your  all  contacts",the app will save your contacts or contact to device,CONTACT,,,
"Easy  to  use;  syncs  with  contacts  and  you’re  ready  to  go, add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.",download contacts to your device storage,CONTACT,,,
this app need to read contacts from the device.,this app can read your contacts,CONTACT,,,
READ  /  WRITE  CONTACTS:  Required  to  display  and  read/write  contact  information.,the app use contact permission to read contacts,CONTACT,,,
this app requires read contacts.,this app will use read contact to read your contacts list,CONTACT,,,
this app need write contact permission to create new contacts.,you can add new contacts and and and save contacts to device storage storage,CONTACT,,,
Contact  Recovery  can  restore  your  deleted  contacts  from  your  internal  phone  database  and  restore  them  in  the  original  Contact  thread,the app use contact permission to read contacts,CONTACT,,,
read  &  write  contacts-  to  assign  ringtone  for  a  specific  contact.,set contact ringtones for contact,CONTACT,,,
Assign  different  “ringtones  and  notifications”  to  specific  contacts  from  your  phonebook,you can save ringtones for your contacts or contact,CONTACT,,,
"Share  the  name  and  contact  details  of  the  phone  owner,  and  the  emergency  contact  details",this app will use read contact to read your contacts list,CONTACT,,,
We  ask  permission  to  access  your  contact  list  so  that  you  will  know  who  among  your  friends  is  also  using  the  app.,the app use contact permission to read contacts,CONTACT,,,
"To  read/write  Call  Logs  and  Contacts  is  required  to  backup,  access,  and  restore  your  call  history  and  contacts.",this app will save your contacts to device storage,CONTACT,,,
"This  application  uses  the  data  of  your  contacts  on  your  phone,  keep  all  your  data  if  you  change  your  device!",app uses read contact permission to read your contacts or contact,CONTACT,,,
Settings  for  enabling  or  disabling  telling  names  of  contacts  or  unknown  numbers  both  for  call  and  message,this app uses read contact permission,CONTACT,,,
It  allows  you  to  manage Contacts. Wide  selection  of  fields  and  unlimited  number  of  contact  groups  that  can  be  organized  hierarchically.,app use contact permission to read your contacts,CONTACT,,,
"Set  as  a  default  ringtone,  contact  tone,  SMS  notification  or  alarm  clock  sound",download ringtone for your device,CONTACT,,,
"This  App  uses  permissions  of  usage  access,  read  contacts  for  secure  the  call  and  read  phone  state  for  call.",access contact from your phone contacts,CONTACT,,,
"You  can  send  SMS,  Email  with  preselected  contact  person/persons  or  share  as  text  with  other  applications  installed  on  device.",the app send sms sms sms,CONTACT,,,
"we  upload  your  contacts  to  your  own  password  protected  cloud  account The  Epic  Contact  App  allows  you  to  instantly  update  any  single  contact,  or  all  of  them  as  a  group,  with  any  changes  to  your  contact  data  you  choose  to  make",the app use read contact permission to read your contacts,CONTACT,,,
"E2PDF  allows  backup  of  sms,  contact, select  any  contact  and  get  PDF  backup  of  Call  Log  and  detailed  SMS  conversation/  SMS  chat  of  your  loved  ones.",app will read sms,CONTACT,,,
Share  business  contacts and Import or Export  business  contacts,this app can save your contacts or contact,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.,app read your contacts,CONTACT,,,
assign  the  ring  tones  to  your  contacts,app will save ringtone for the contacts,CONTACT,,,
This  App  uses  permissions  of  read  contacts.,app can read contacts to read contact,CONTACT,,,
"Press  button  ""View  the  contacts""  to  view  the  list  of  contacts.  You  can  view  all  details  of  a  contact,  search  a  contact  name,  delete  some  not  necessary  contacts",you can read contact detalls of your contacts or contact,CONTACT,,,
"You  can  decide  if  to  synchronize  contacts  for  each  account,  and  delete  synchronized  ones  from  Telegram  servers.",save your contact to contacts,CONTACT,,,
Caller  name  speaker  and  announcer  uses  permission  to  read  contacts  for  speaking  the  incoming  caller  name.,the app use read contact permission use microphone permission,CONTACT,,,
Create  QR  from  contacts  or  bookmarks  for  your  friend  to  scan  it  on  their  device,the app can read contact or contacts to read your contact,CONTACT,,,
"Load, save, delete, backup or retore contacts from phone or SIM card.",save contacts to your phone storage,CONTACT,,,
ASSIGN  DIFFERENT  RINGTONES  TO  SPECIFIC  CONTACTS,set ringtone for contacts,CONTACT,,,
"Set  these  sounds  as  SMS  ringtones,  alarm  sounds,  contact  ringtones  or  notification  sounds",set as contact ringtone notification ringtone and alerm,CONTACT,,,
Easy  to  use;  syncs  with  contacts  and  you’re  ready  to  go. add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.,access contact information,CONTACT,,,
This  application  allow  you  to  Recover  your  deleted  contacts. Back  up  your  contacts  and  sync  them  across  all  your  devices.,the app use read contact permission to read your contact and you can use save your contacts,CONTACT,,,
"Choose  awesome  sounds  as  dj  beats  for  your  short  message  for  notification  tone,  or  some  long  ringtones  that  you  can  set  as  contact  ringtone.",download ringtone for your device,CONTACT,,,
Create  QR  from  contacts  or  bookmarks  for  your  friends  to  scan  on  their  device,the app can read contact or contacts to read your contact,CONTACT,,,
