Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
Transcribe written notes – from a photo of your padCreate Outlook contacts – from photos of business cardsDo expense reports – from photos of receipts and a spoken description of the tripEnter records in a database – from a photo of a form,this app uses camera permission to take photo,CAMERA,,,
"Even better, its high-speed HD video and audio chats bring more life into your conversations with your friend(s) ",the application uses camera permission,CAMERA,,,
Upload photos,this application can use camera of your camera,CAMERA,,,
Augmented reality is about to get augmented,take camera to take the camera,CAMERA,,,
"We also collect images, signatures, audio, dates and times, QR codes as well as many advanced feature rich enhancements that are being added by constant development ",this app access to your device camera,CAMERA,,,
Type or scan a VIN in order to stock in off lease inventory,you can open camera open the camera to scan,CAMERA,,,
"you’ll be connected through a secure, video chat with a licensed, local doctor ",get camera device of your camera,CAMERA,,,
"Modify flashlight notification app for android with deferent colors white, purple, pink, Yellow, green, blue, redNow available flashlight app for sms texting and calling ",this application uses camera permission,CAMERA,,,
If you love taking pictures with your children and you want to do something special with themChoose a photograph from your device or take a new one,take the camera to take picture,CAMERA,,,
Parked Car Finder QR Code and VIN Barcode scanner New and pre-owned inventory,get camera device of your camera,CAMERA,,,
Take or upload pictures to report and prove issues,take photo with the camera of your device,CAMERA,,,
show your creative side of taking the pictures with our quality frames,open camera to take photo,CAMERA,,,
Search by scanning serial bar code,you can use the camera to scan open the camera,CAMERA,,,
Join quests and compete with other players to photograph animals and plants in the wild,this app uses camera camera permission,CAMERA,,,
SCAN: Featuring NFC and QR code scanning with full traceability of the parts from manufacturing,the app use camera use camera permission,CAMERA,,,
[AR Features]Summon your Heroes to the real world!,take camera to take the camera,CAMERA,,,
Recognition of images to access promotions,open camera to take picture or video,CAMERA,,,
scan barcodes of inspected products to trace them back take and upload photos to integrate them into your inspection reports,you can scan scan using device camera,CAMERA,,,
"Android Enterprise Enrollment using QR Code, NFC or HashcodeProprietary Non-GMS Enrollment (QR-code based) ",you can open camera open the camera to scan,CAMERA,,,
To place a business-quality video or voice-only call into a business from your Android deviceIt's that easy to start a face-to-face interaction,the app use camera permission,CAMERA,,,
Record video and take pictures as a dashcam,take pictures and videos with device camera,CAMERA,,,
"wherever you go, any time and any moment just take pic from camera or import photo from gallery just decorate with this photo frame app ",take photo or video with device camera,CAMERA,,,
press volumn key to take picutres or record video,the app uses camera to take picture,CAMERA,,,
A Better Editor & Effects integrated with A Better Camera - Get it now! Capture now - process later,this application uses camera permission,CAMERA,,,
the best mirror camera where you can make creative selfies and videos with more than 12 mirror effects,take camera to take the camera,CAMERA,,,
"Decorate your photos with these incredible frames, choose a photo from the gallery or take a photo with the camera, then apply the frame that you like and you can save the photo, share with friends or upload to social networks Facebook, Twitter , email etc ",open camera to take the camera and take picture,CAMERA,,,
Select a photo from the gallery or take photos using the phone's camera,open camera to take picture or video,CAMERA,,,
Secret Video Recorder Record video without notifications,get camera device of your camera,CAMERA,,,
Silent CameraTake pictures in the background or foreground without shutter sound,the app uses camera permission,CAMERA,,,
[Optional access rights]-Camera / Album  : Used to register and change in-game profile,the app use camera of your camera,CAMERA,,,
Take pictures with vivid colors and rich details,take photo with camera or take from gallery,CAMERA,,,
Photo Mission - Wake up and take photo of the registered place to dismiss your alarm,app use camera of your camera to take photo,CAMERA,,,
"You point your smartphone camera at the subject, the name of the color is going to find out ",the app uses your camera of your device camera,CAMERA,,,
Camera access,the app uses camera permission,CAMERA,,,
take pictures and videos and apply amazing effects on it,open camera to take the camera and take picture,CAMERA,,,
Make snappic with live camera filters or make selfie video with live camera effects,take the camera to take pictures,CAMERA,,,
"You can use your phone as usual, while being able to see the live image of your camera transparently on the entire screen ",the app uses camera permission,CAMERA,,,
"Chose your camera shots or photos from your gallery, use photo effects, play with masks and effects and enjoy the result ",take photo with camera or take from gallery,CAMERA,,,
"Control Center 12 Gives you access to the Camera,Clock,Screenshot,and more settings.",this app uses camera permission,CAMERA,,,
"Shoot or pick your videos/photos/music, Movie Studio automatically turns them into beautifully edited movies, completed in minutes ",the application uses camera,CAMERA,,,
Camera Color Picker is a very light weight app that uses the camera of your device to capture a color,the app use use camera permission,CAMERA,,,
It analyses in real time the camera preview and extracts the color that you are pointing at,take camera to take the camera,CAMERA,,,
We know that many people find some difficulties when they try to take selfie snaps because it’s harder to take the phone and tap the snap button at the same time and that’s the main reason behind this app because it will help you with its advanced and smart voice selfie and countdown camera features to take some amazing selfies using your voice or a countdown,take photo with the camera of your device,CAMERA,,,
"Dashboard Cam allows the users to record video or take photo snaps in full screen camera images along with map compass and GPS speed information, and find out your driving statistics with GPS data recordings ",the app uses your camera of your device camera,CAMERA,,,
"Create a selfie, submit it and talented people from all around the world can draw a portrait of you! ",get camera device of your camera,CAMERA,,,
Multiple exposures on the single photo for the android camera,the app uses camera permission,CAMERA,,,
Capture a new image with your camera and apply an amazing photo frame to it!,open camera to take photo,CAMERA,,,
"Take a photo, record a video and share with the world!Use the web search to find faces to swap with or use one from the built-in ones such as a statue or a doll face or a masquerade mask ",you can take pictures or videos using device camera,CAMERA,,,
Take photos and videos with the professional mode to adjust the scene,take photo with camera or take from gallery,CAMERA,,,
"HD Camera Selfie Camera designed specifically for selfie, with extreme pro effects.",camera access,CAMERA,,,
Features:take picture with front camera take picture with rear camera, take the camera to take picture,CAMERA,,,
Camera : Takes pictures,this app uses camera permission to take pictures,CAMERA,,,
MineCam MC Dimensions allows you to take ordinary photos or selfies and add awesome Minecraf effects to them,camera access,CAMERA,,,
"Record videos or take photos, is up to you ",open camera to take picture or video,CAMERA,,,
"Turn on your phone camera, your phone will show your background screen from back camera and make your device as transparent screen ",this application uses camera permission,CAMERA,,,
"HD filters Camera  is a fully-featured free Camera app, with Quick Snap and HD videos, and offers Photo Sphere, and another creative panorama photo modes ",open camera to take picture or video,CAMERA,,,
"Easy to Shoot professional Camera Effects, Real-time Preview of the beautiful Photo and video filters Effects ",get camera device of your camera,CAMERA,,,
Voice Command Mode: take photo by voice command (command is Cheese),this app uses camera permission to take photo,CAMERA,,,
Features: Choose Image either from gallery or Camera 20 photo effects to apply or photos,take photo with camera or take from gallery,CAMERA,,,
Turn your device into a bright flashlight using your camera Flash,camera access,CAMERA,,,
Convert existing photos and image files to the video file,this app will use camera permission,CAMERA,,,
Precious is an application where you can capture your beautiful moments to share them with your friends and families,this app will use camera permission,CAMERA,,,
"This app takes three pictures with single shutter action. Then, the app automatically select the picture that is the most clear and save it ",open camera to take the camera and take picture,CAMERA,,,
"Camera support added, to take snapshots of the scenes ",you can take photos with camera,CAMERA,,,
Take the photo fun to the next level,this app use camera permission to take pictures,CAMERA,,,
Take the photo fun to the next level,app use use camera of your camera you can take photo with camera,CAMERA,,,
"This app can import, export, and transfer your contacts.",this application use read contact,CONTACT,,,
syncs  with  contacts  and  you’re  ready  to  go. add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.,the app read contacts to read contacts,CONTACT,,,
it  will  not  read  your  contacts  saved  in  phone  but  you  can  create  separate  contact  list  so  that  contact  would  be  added  in  jhingur  as  your  preference.,app use can can read contact,CONTACT,,,
Set  sound  as  default  or  contact  ringtone,the app uses contact permission to set contact ringtone,CONTACT,,,
Read  contacts:  To  read  the  device  contacts  to  provide  caller  id  information.,the application uses contact permission,CONTACT,,,
"Contacts  (read  your  contacts)  -  connecting  Your  contacts  with  profiles  (name,  avatar,  sending  reports)",the app can read contacts,CONTACT,,,
Find  contacts  who  are  already  on  Yabb  and  invite  those  who  aren’t.,this app read your contacts and read contacts,CONTACT,,,
Easily  add  friends  to  your  contacts  list  with  Yabb  Auto-sync.,save contacts,CONTACT,,,
"Contacts  Import:  Import  business  contacts  from  Google  contacts,  phonebook  or  excel  sheet.",the app save contacts and save your contact,CONTACT,,,
Read  your  contacts  is  required  for  selecting  some  contact  which  will  be  used  as  target  for  a  shortcut.,app can read your contacts,CONTACT,,,
Use  your  contact  list  to  invite  friends  to  events  or  find  friends  already  using  Bandsintown,the app use read contact permission to read contact,CONTACT,,,
Assign  different  melody  for  every  contact,set contact ringtones,CONTACT,,,
Slide  a  contact  to  left  to  call  or  send  a  message  directly and quickly  call  your  favorite  contacts!,app can read contacts to read contacts,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts",read your contacts to set ringtone or notification alert sound,CONTACT,,,
"READ_CONTACTS  to  read  your  contacts, Home  screen  widget  displaying  the  upcoming  birthday  and  anniversary  dates  of  your  contacts",the app use read contact permission to read contact,CONTACT,,,
"Simply  tap  on  the  call  tab  on  Skype  Lite,  and  start  the  group  call  with  your  friends  on  Skype  Lite.  You  can  also  share  a  Skype  Lite  group  call  link  with  your  friends  on  popular  social  apps  like  WhatsApp,  Facebook  Messenger  or  SMS,  and  invite  them  to  join  the  call.",the app uses read contact permission,CONTACT,,,
This  application  allows  you  to  transfer  within  a  few  seconds  all  your  contacts  to  your  new  phone.,save contacts,CONTACT,,,
"Barcode  and  QR  scanner  can  scan  and  read  all  QR  /  barcode  types  including  contact,  email,  and  many  other  formats.",app can read your contacts and contacts,CONTACT,,,
"Activate  your  astDial  account,  upload  contact  on  cloud",this application use read contact,CONTACT,,,
"The  phonebook  Contacts  App  helps  you  to  modify, delete and insert contact.",the app can can add contacts and delete contacts and add contacts,CONTACT,,,
"You  can  send  an  unlimited  amount  of  messages,  photos,  videos  and  files  of  any  type  to your contacts and have group chat with up to 200 contacts at a time.",this app you can read contacts and read contacts,CONTACT,,,
This  app  uses  Read  Contacts  permission  to  read  contacts  per  your  action  taken.,the app will read contact,CONTACT,,,
This  app  uses  Write  Contacts  permission  to add/delete  contacts  as  per  your  action  taken.,you can add contacts and delete contacts and add contacts,CONTACT,,,
"READ_CONTACTS,  WRITE_CONTACTS:  for  internal  use  for  the  purpose  of  assigning  the  ringtone  to  desired  contact",set contact ringtones,CONTACT,,,
You  can  import  thousands  of  contacts  into  separate  groups  from  a  spreadsheet  (CSV)  in  seconds.  The  contacts  are  synced  real-time  from  your  computer  with  your  Android  app.,the app uses read contact permission to read contacts,CONTACT,,,
READ_CONTACT  permission  needed  for  autocompletion  when  you  are  using  on  screen  keyboard.,this app read contact to read your contacts,CONTACT,,,
"Recover  Deleted  All  Photos,  Files  And  Contacts.",save contact for your device,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts",read your contacts to set ringtone or notification alert sound,CONTACT,,,
You  may  create  favorite  contact  list  for  privacy  or  may  put  contact  list  in  the  privacy  to  secure  your  contact  while  ring.,this app uses read contact permission,CONTACT,,,
Edit  contacts  and  add  notes  to  the  people  you  meet.,the application uses contact permission,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.,the app read contacts and read contacts,CONTACT,,,
PERMISSION  for  reading  contacts: It  allows  you  to  share  the  same  resources  accross  multiple  projects.,this app will use read contact permission,CONTACT,,,
Import  persons  from  your  contacts  or  a  Google  spreadsheet,save contacts,CONTACT,,,
You  can  create  list  from  your  contacts  to  exclude  them  from  caller  name  announcement. Calling  person  name  if  exists  in  your  contacts.,app can read contact to read your contacts,CONTACT,,,
"Easily  export  contacts  to  Salesforce,  SugarCRM  or  save  as  Excel  files",this application read your contacts to read contacts,CONTACT,,,
"CREAM  assistant  is  also  a  base  of  your  contacts,  which  can  be  quickly  created  and  organized.",the app can read contacts to read your contacts,CONTACT,,,
Set ringtones photos for your contacts.,you can use save the photo to contacts,CONTACT,,,
"This  application  can  restore  all  your  MANUALLY  deleted  Contacts, and synchronize  your  all  contacts",the app will save your contacts or contact to device,CONTACT,,,
"Easy  to  use;  syncs  with  contacts  and  you’re  ready  to  go, add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.",the app uses read contact permission to read contacts,CONTACT,,,
this app need to read contacts from the device.,this app can read your contacts,CONTACT,,,
READ  /  WRITE  CONTACTS:  Required  to  display  and  read/write  contact  information.,the app use contact permission to read contacts,CONTACT,,,
this app requires read contacts.,this app uses read contacts and read contacts,CONTACT,,,
this app need write contact permission to create new contacts.,the app can add contacts and add contacts,CONTACT,,,
Contact  Recovery  can  restore  your  deleted  contacts  from  your  internal  phone  database  and  restore  them  in  the  original  Contact  thread,the app use contact permission to read contacts,CONTACT,,,
read  &  write  contacts-  to  assign  ringtone  for  a  specific  contact.,this app uses read contact permission,CONTACT,,,
Assign  different  “ringtones  and  notifications”  to  specific  contacts  from  your  phonebook,you can read contacts and set contact ringtone,CONTACT,,,
"Share  the  name  and  contact  details  of  the  phone  owner,  and  the  emergency  contact  details",this app uses read contacts to read your contacts,CONTACT,,,
We  ask  permission  to  access  your  contact  list  so  that  you  will  know  who  among  your  friends  is  also  using  the  app.,the app use contact permission to read contacts,CONTACT,,,
"To  read/write  Call  Logs  and  Contacts  is  required  to  backup,  access,  and  restore  your  call  history  and  contacts.",this app will save your contacts to device storage,CONTACT,,,
"This  application  uses  the  data  of  your  contacts  on  your  phone,  keep  all  your  data  if  you  change  your  device!",app uses read contact permission to read your contacts or contact,CONTACT,,,
Settings  for  enabling  or  disabling  telling  names  of  contacts  or  unknown  numbers  both  for  call  and  message,this app uses read contact permission,CONTACT,,,
It  allows  you  to  manage Contacts. Wide  selection  of  fields  and  unlimited  number  of  contact  groups  that  can  be  organized  hierarchically.,app use contact permission to read your contacts,CONTACT,,,
"Set  as  a  default  ringtone,  contact  tone,  SMS  notification  or  alarm  clock  sound",the app read contacts and read contacts,CONTACT,,,
"This  App  uses  permissions  of  usage  access,  read  contacts  for  secure  the  call  and  read  phone  state  for  call.",access contact from your phone contacts,CONTACT,,,
"You  can  send  SMS,  Email  with  preselected  contact  person/persons  or  share  as  text  with  other  applications  installed  on  device.",this application uses read contact permission,CONTACT,,,
"we  upload  your  contacts  to  your  own  password  protected  cloud  account The  Epic  Contact  App  allows  you  to  instantly  update  any  single  contact,  or  all  of  them  as  a  group,  with  any  changes  to  your  contact  data  you  choose  to  make",the app use read contact permission to read your contacts,CONTACT,,,
"E2PDF  allows  backup  of  sms,  contact, select  any  contact  and  get  PDF  backup  of  Call  Log  and  detailed  SMS  conversation/  SMS  chat  of  your  loved  ones.",you can save your contacts to save contact in your device,CONTACT,,,
Share  business  contacts and Import or Export  business  contacts,this app can save your contacts,CONTACT,,,
Mobile  Tracker  App  uses  permission  to  read  the  contact  and  make  user's  to  pick  individual  contact  to  store  in  the  application  and  display  picked  contact  numbers  when  user  get  in  to  this  app.,app read your contacts and and read contacts,CONTACT,,,
assign  the  ring  tones  to  your  contacts,you can read contacts and set contact ringtone,CONTACT,,,
This  App  uses  permissions  of  read  contacts.,app can read contacts to read contact,CONTACT,,,
"Press  button  ""View  the  contacts""  to  view  the  list  of  contacts.  You  can  view  all  details  of  a  contact,  search  a  contact  name,  delete  some  not  necessary  contacts",this application uses read contact permission,CONTACT,,,
"You  can  decide  if  to  synchronize  contacts  for  each  account,  and  delete  synchronized  ones  from  Telegram  servers.",app save contact to contacts,CONTACT,,,
Caller  name  speaker  and  announcer  uses  permission  to  read  contacts  for  speaking  the  incoming  caller  name.,the app uses contact permission to read contacts and read contacts,CONTACT,,,
Create  QR  from  contacts  or  bookmarks  for  your  friend  to  scan  it  on  their  device,the app can read contact or contacts to read your contact,CONTACT,,,
"Load, save, delete, backup or retore contacts from phone or SIM card.",save contacts to your phone storage,CONTACT,,,
ASSIGN  DIFFERENT  RINGTONES  TO  SPECIFIC  CONTACTS,the app read contacts and set contact ringtone,CONTACT,,,
"Set  these  sounds  as  SMS  ringtones,  alarm  sounds,  contact  ringtones  or  notification  sounds",you can read contacts and set contact ringtone,CONTACT,,,
Easy  to  use;  syncs  with  contacts  and  you’re  ready  to  go. add  your  favorite  contacts  in  app  home  screen  to  make  the  call  within  a  couple  of  touches.,this application can read your contacts,CONTACT,,,
This  application  allow  you  to  Recover  your  deleted  contacts. Back  up  your  contacts  and  sync  them  across  all  your  devices.,the app use read contact permission to read your contact and you can use save your contacts,CONTACT,,,
"Choose  awesome  sounds  as  dj  beats  for  your  short  message  for  notification  tone,  or  some  long  ringtones  that  you  can  set  as  contact  ringtone.",set contact ringtones,CONTACT,,,
Create  QR  from  contacts  or  bookmarks  for  your  friends  to  scan  on  their  device,the app read contacts and read contacts,CONTACT,,,
